,year,month,djia_monthly_mean,yearmonth_str
464,1935,09,146.34,1935-09
465,1935,10,146.56,1935-10
466,1935,11,146.91,1935-11
467,1935,12,149.9,1935-12
468,1936,01,154.18,1936-01
469,1936,02,158.47,1936-02
470,1936,03,157.59,1936-03
471,1936,04,165.11,1936-04
472,1936,05,167.22,1936-05
473,1936,06,163.61,1936-06
474,1936,07,175.48,1936-07
475,1936,08,185.89,1936-08
476,1936,09,191.9,1936-09
477,1936,10,195.47,1936-10
478,1936,11,199.11,1936-11
479,1936,12,197.3,1936-12
480,1937,01,205.97,1937-01
481,1937,02,208.22,1937-02
482,1937,03,202.52,1937-03
483,1937,04,186.56,1937-04
484,1937,05,169.91,1937-05
485,1937,06,169.07,1937-06
486,1937,07,175.96,1937-07
487,1937,08,179.5,1937-08
488,1937,09,177.06,1937-09
489,1937,10,171.79,1937-10
490,1937,11,168.77,1937-11
491,1937,12,180.96,1937-12
492,1938,01,179.42,1938-01
493,1938,02,178.92,1938-02
494,1938,03,182.26,1938-03
495,1938,04,179.27,1938-04
496,1938,05,174.48,1938-05
497,1938,06,167.47,1938-06
498,1938,07,177.89,1938-07
499,1938,08,185.81,1938-08
500,1938,09,190.75,1938-09
501,1938,10,182.62,1938-10
502,1938,11,180.69,1938-11
503,1938,12,183.1,1938-12
504,1939,01,175.6,1939-01
505,1939,02,179.33,1939-02
506,1939,03,174.79,1939-03
507,1939,04,176.43,1939-04
508,1939,05,175.07,1939-05
509,1939,06,167.25,1939-06
510,1939,07,175.27,1939-07
511,1939,08,180.34,1939-08
512,1939,09,186.77,1939-09
513,1939,10,192.56,1939-10
514,1939,11,199.1,1939-11
515,1939,12,202.46,1939-12
516,1940,01,206.59,1940-01
517,1940,02,214.39,1940-02
518,1940,03,222.27,1940-03
519,1940,04,208.57,1940-04
520,1940,05,218.27,1940-05
521,1940,06,228.48,1940-06
522,1940,07,228.69,1940-07
523,1940,08,233.54,1940-08
524,1940,09,249.86,1940-09
525,1940,10,250.33,1940-10
526,1940,11,253.31,1940-11
527,1940,12,252.82,1940-12
528,1941,01,250.92,1941-01
529,1941,02,264.31,1941-02
530,1941,03,273.97,1941-03
531,1941,04,262.08,1941-04
532,1941,05,264.64,1941-05
533,1941,06,271.59,1941-06
534,1941,07,263.7,1941-07
535,1941,08,264.67,1941-08
536,1941,09,260.92,1941-09
537,1941,10,269.14,1941-10
538,1941,11,277.31,1941-11
539,1941,12,272.47,1941-12
540,1942,01,270.31,1942-01
541,1942,02,285.89,1942-02
542,1942,03,286.54,1942-03
543,1942,04,285.64,1942-04
544,1942,05,275.88,1942-05
545,1942,06,269.51,1942-06
546,1942,07,271.44,1942-07
547,1942,08,265.5,1942-08
548,1942,09,271.06,1942-09
549,1942,10,279.48,1942-10
550,1942,11,286.97,1942-11
551,1942,12,295.94,1942-12
552,1943,01,310.58,1943-01
553,1943,02,324.44,1943-02
554,1943,03,338.85,1943-03
